Serial Number,車位類別,車位價格,車位面積平方公尺,車位所在樓層
RPXNMLNLQHIGFCA58CC,坡道平面,0,34.14,地下一樓
RPQOMLLLQHIGFCA77CC,坡道平面,0,44.58,地下三樓
RPOOMLQKQHIGFBA87CC,坡道平面,0,33.69,地下五樓含以下
RPTNMLTJQHIGFAA38CC,坡道平面,0,52.43,地下二樓
RPRNMLRKQHIGFCA28CC,升降機械,3000,12.24,地下四樓
RPQNMLRJQHIGFCA08CC,坡道平面,0,,地下二樓
RPRNMLRLPHIGFCA28CC,坡道平面,0,29.99,地下一樓
RPRNMLRLPHIGFCA28CC,坡道平面,0,29.99,地下一樓
RPTNMLQLRHIGFCA58CC,坡道平面,0,30.1,地下一樓
RPOOMLLLRHIGFBB67CC,坡道平面,0,23.97,地下三樓
RPPNMLLLRHIGFBB67CC,坡道機械,0,,地下一樓
RPUNMLLLRHIGFCB28CC,坡道機械,1500,28.34,地下二樓
RPQNMLLLRHIGFIB48CC,坡道平面,0,33.78,地下二樓
RPPNMLLLRHIGFIB38CC,坡道平面,2500,25.37,地下三樓
RPPNMLMLRHIGFCB87CC,其他,2000,,地下一樓
RPXNMLMLRHIGFBB58CC,坡道平面,2000,29.81,地下三樓
RPPOMLMLRHIGFCB97CC,坡道平面,2000,,地下二樓
RPPNMLMLRHIGFDB97CC,一樓平面,0,,一樓
RPQNMLLLRHIGFFB18CC,坡道平面,300,27.74,地下二樓
RPSNMLLLRHIGFFB38CC,其他,2000,17.75,地下四樓
RPSNMLMLRHIGFFB48CC,坡道平面,1890,33.76,地下一樓
RPTNMLMLRHIGFFB58CC,坡道平面,2560,32.26,地下二樓
RPQNMLNLRHIGFBB97CC,坡道平面,3500,27.23,地下三樓
RPWNMLNLRHIGFBB58CC,坡道平面,3000,28.36,地下三樓
RPVNMLNLRHIGFBB48CC,坡道平面,2000,24.81,地下二樓
RPQOMLNLRHIGFBB08CC,坡道平面,1000,,地下一樓
RPQNMLNLRHIGFCB08CC,坡道平面,2000,28.35,地下四樓
RPTNMLNLRHIGFCB38CC,坡道平面,2000,,地下二樓
RPUNMLNLRHIGFCB48CC,坡道平面,0,23.98,地下二樓
RPVNMLNLRHIGFCB58CC,坡道平面,3000,35.91,地下四樓
RPPNMLNLRHIGFFB28CC,坡道平面,3000,26.16,地下二樓
RPQNMLNLRHIGFFB38CC,坡道平面,0,24.62,地下二樓
RPRNMLNLRHIGFHB68CC,升降機械,0,,地下一樓
RPTNMLPLRHIGFBB48CC,坡道平面,0,27.23,地下三樓
RPOOMLPLRHIGFBB08CC,坡道平面,2000,25.81,地下二樓
RPSNMLPLRHIGFCB48CC,坡道平面,0,35.95,地下四樓
RPSOMLPLRHIGFBB48CC,升降機械,0,13.22,地下二樓
RPQNMLPLRHIGFIB88CC,坡道平面,0,40.41,地下三樓
RPPNMLPLRHIGFIB78CC,坡道平面,0,31.04,地下二樓
RPQOMLPLRHIGFIB98CC,坡道平面,0,27.22,地下二樓
RPRNMLPLRHIGFHB88CC,坡道機械,0,11.64,地下一樓
RPRNMLPLRHIGFFB68CC,坡道平面,2000,25.22,地下一樓
RPQNMLPLRHIGFJB98CC,坡道平面,3000,64.48,地下一樓
RPRNMLPLRHIGFJB09CC,坡道平面,3000,29.96,地下三樓
RPUNMLQLRHIGFBB68CC,坡道機械,0,13.61,地下四樓
RPSOMLQLRHIGFBB58CC,坡道平面,2000,25.81,地下二樓
RPPNMLQLRHIGFCB28CC,坡道平面,3000,13.99,地下二樓
RPRNMLQLRHIGFCB48CC,坡道平面,2900,21.71,地下二樓
RPROMLQLRHIGFCB58CC,坡道平面,0,,地下二樓
RPUNMLQLRHIGFCB78CC,坡道機械,0,4.98,地下五樓含以下
RPRNMLQLRHIGFHB98CC,坡道機械,2500,12.98,地下二樓
RPQNMLQLRHIGFHB88CC,坡道平面,0,43.17,地下一樓
RPQNMLRLRHIGFBB38CC,坡道平面,0,36.2,地下一樓
RPQNMLRLRHIGFCB48CC,坡道機械,1700,,地下一樓
RPSPMLRLRHIGFBB78CC,坡道平面,3500,27.23,地下二樓
RPRPMLRLRHIGFBB68CC,坡道平面,3200,31.88,地下一樓
RPUNMLRLRHIGFCB88CC,升降平面,2500,16.53,地下一樓
RPTNMLRLRHIGFCB78CC,坡道機械,0,19.87,地下五樓含以下
RPPNMLRLRHIGFFB68CC,坡道平面,0,,地下一樓
RPRNMLRLRHIGFFB88CC,坡道平面,0,,地下二樓
RPQNMLRLRHIGFFB78CC,坡道平面,0,,地下一樓
RPSNMLRLRHIGFFB98CC,坡道平面,0,,地下三樓
RPRNMLRLRHIGFHB09CC,坡道平面,3000,,地下一樓
RPSNMLRLRHIGFHB56CC,坡道平面,0,,地下二樓
RPTNMLRLRHIGFIB76CC,坡道平面,0,33.78,地下四樓
RPTNMLSLRHIGFBB78CC,坡道機械,0,14.87,地下三樓
RPQNMLSLRHIGFBB48CC,坡道機械,2000,17.08,地下二樓
RPUNMLSLRHIGFBB88CC,坡道平面,0,,地下一樓
RPXNMLSLRHIGFCB66CC,升降機械,0,,地下一樓
RPROMLSLRHIGFCB78CC,坡道機械,0,32.66,地下三樓
RPTPMLSLRHIGFCB09CC,坡道機械,500,,地下一樓
RPUNMLSLRHIGFDB09CC,升降機械,0,21.59,地下二樓
RPOOMLSLRHIGFDB58CC,坡道平面,0,,一樓
RPTNMLSLRHIGFFB56CC,坡道平面,2500,31.04,地下一樓
RPPNMLSLRHIGFIB09CC,坡道平面,2500,,地下一樓
RPUNMLSLRHIGFFB66CC,坡道平面,3830,32.71,地下二樓
RPQOMLSLRHIGFCB68CC,坡道平面,0,,地下二樓
RPPPMLSLRHIGFIB66CC,坡道平面,0,38.51,地下三樓
RPUNMLTLRHIGFIB07CC,坡道平面,0,22.95,地下一樓
RPQNMLMJIIIGFCB96CC,坡道平面,0,30.11,地下三樓
RPSNMLMJIIIGFBB07CC,坡道平面,3000,41.25,地下四樓
RPSNMLNJIIIGFBB17CC,坡道機械,2000,15.94,地下三樓
RPVNMLNJIIIGFBB47CC,坡道平面,3500,27.9,地下二樓
RPOOMLOJIIIGFCB07CC,坡道平面,0,31.84,地下五樓含以下
RPVPMLOJIIIGFCB87CC,坡道平面,0,23.21,地下三樓
RPVNMLOJIIIGFCB67CC,坡道平面,0,20.01,地下一樓
RPSNMLOJIIIGFCB37CC,坡道平面,4000,4.98,地下三樓
RPTNMLOJIIIGFCB47CC,坡道平面,0,,地下二樓
RPTOMLOJIIIGFBB47CC,坡道機械,0,,地下二樓
RPUNMLQJIIIGFCB77CC,坡道平面,0,,地下二樓
RPRNMLTJIIIGFIB38CC,坡道平面,0,35.07,地下三樓
RPRNMLTJIIIGFBB67CC,坡道平面,3000,21.53,地下一樓
RPPNMLMKIIIGFCB96CC,坡道機械,0,,地下一樓
RPWNMLMKIIIGFBB57CC,坡道機械,0,,地下二樓
RPTNMLNKIIIGFCB47CC,坡道平面,0,20.1,地下五樓含以下
RPTNMLNKIIIGFCB47CC,坡道平面,0,20.1,二樓含以上
RPTNMLNKIIIGFCB47CC,坡道平面,0,20.1,二樓含以上
RPTNMLNKIIIGFCB47CC,坡道平面,0,20.1,二樓含以上
RPOPMLNKIIIGFCB17CC,升降機械,0,14.85,地下三樓
RPSNMLNKIIIGFDB47CC,坡道平面,0,33.05,地下一樓
RPRRMLNKIIIGFKB48CC,一樓平面,0,,一樓
RPVSMLNKIIIGFKB98CC,一樓平面,0,,一樓
RPVNMLOKIIIGFBB67CC,坡道平面,0,35.75,地下三樓
RPQNMLOKIIIGFCB27CC,坡道機械,0,17.48,地下二樓
RPXNMLQKIIIGFCB18CC,坡道平面,0,33.09,地下三樓
RPXNMLQKIIIGFCB18CC,坡道平面,0,33.09,地下三樓
RPPOMLQKIIIGFCB47CC,坡道平面,329,,地下二樓
RPQOMLQKIIIGFCB57CC,坡道平面,0,28.85,地下二樓
RPQOMLQKIIIGFCB57CC,坡道平面,0,28.85,地下二樓
RPOPMLLKIIIGFBB86CC,坡道機械,1500,14.9,地下二樓
RPSPMLLKIIIGFBB27CC,坡道平面,2000,23.52,地下三樓
RPSNMLRKIIIGFIB38CC,坡道機械,0,,地下二樓
RPPNMLRKIIIGFJB18CC,坡道機械,1500,,地下一樓
RPVNMLSKIIIGFBB08CC,坡道平面,2300,23.97,地下三樓
RPXOMLRKIIIGFBB28CC,坡道機械,1300,,地下一樓
RPUNMLTKIIIGFBB08CC,坡道平面,0,24.59,地下二樓
RPVNMLTKIIIGFCB28CC,坡道平面,2340,,地下二樓
RPQOMLTKIIIGFCB87CC,坡道平面,0,,地下一樓
RPUOMLTKIIIGFCB28CC,坡道平面,2000,16.62,地下二樓
RPRNMLKLIIIGFCB07CC,坡道機械,340,13.5,地下二樓
RPQNMLKLIIIGFBB86CC,坡道平面,0,27.15,地下四樓
RPPNMLMLIIIGFBB96CC,坡道平面,0,,地下一樓
RPPNMLNLIIIGFDB27CC,坡道機械,3000,11.62,地下一樓
RPUNMLOLIIIGFCB77CC,坡道平面,0,31.72,地下五樓含以下
RPPPMLOLIIIGFCB47CC,坡道機械,0,,地下一樓
RPPNMLQKIIIGFCB47DC,坡道平面,0,30.58,地下五樓含以下
RPPNMLQKIIIGFCB47DC,坡道機械,0,17.5,地下五樓含以下
RPTNMLQLIIIGFCB87CC,坡道平面,0,,地下三樓
RPROMLNLIIIGFBB37CC,坡道平面,1500,24.59,地下三樓
RPUOMLNLIIIGFBB67CC,升降機械,2000,,地下一樓
RPVNMLNLIIIGFBB67CC,坡道機械,0,,地下二樓
RPTNMLSLPHIGFDC88CC,坡道平面,0,27.13,地下二樓
RPSNMLSLPHIGFDC78CC,其他,0,18.37,地下二樓
RPPNMLLJNHIGFDC47DC,坡道機械,0,18.38,地下二樓
RPPNMLMLRHIGFDC08CC,坡道機械,0,4.1,地下一樓
RPUNMLLLRHIGFDC48CC,坡道平面,3000,17.52,地下五樓含以下
RPWNMLLLRHIGFAD48CC,坡道機械,0,23.35,地下三樓
RPTNMLLLRHIGFAD18CC,坡道平面,0,33.4,地下二樓
RPQOMLLLRHIGFAD97CC,一樓平面,0,,一樓
RPUOMLLLRHIGFAD38CC,坡道機械,0,,地下四樓
RPSNMLLLRHIGFBD18CC,坡道平面,2500,29.08,地下二樓
RPQNMLLLRHIGFHD58CC,坡道平面,3500,35.21,地下一樓
RPXNMLLLRHIGFKD96CC,一樓平面,0,,一樓
RPOOMLLLRHIGFKD78CC,其他,0,,地下一樓
RPTOMLLLRHIGFKD66CC,坡道平面,0,37.35,地下四樓
RPPNMLNLRHIGFGD58CC,坡道平面,2000,10.17,一樓
RPPNMLPLRHIGFCD38CC,坡道機械,0,,地下二樓
RPTNMLPLRHIGFAD58CC,坡道平面,0,32.55,地下四樓
RPOOMLPLRHIGFCD38CC,坡道平面,3300,,地下一樓
RPPOMLPLRHIGFCD48CC,坡道平面,3300,,地下一樓
RPSNMLQLRHIGFAD58CC,坡道平面,0,,地下一樓
RPPNMLRLRHIGFCD58CC,坡道平面,0,25.33,地下二樓
RPPNMLRLRHIGFBD48CC,坡道平面,0,25.6,地下一樓
RPPNMLRLRHIGFID56CC,坡道平面,0,23.08,地下一樓
RPSNMLRLRHIGFID86CC,坡道平面,0,17.45,地下二樓
RPOOMLSLRHIGFAD48CC,坡道平面,0,,地下一樓
RPSPMLSLRHIGFAD98CC,坡道平面,0,31.89,地下三樓
RPQPMLSLRHIGFAD78CC,坡道平面,0,,地下一樓
RPPNMLSLRHIGFBD58CC,坡道機械,2000,20.96,地下二樓
RPRPMLSLRHIGFAD88CC,坡道平面,0,33.38,地下二樓
RPPNMLSLRHIGFCD68CC,坡道平面,2500,,地下一樓
RPOOMLSLRHIGFCD68CC,坡道平面,0,25.79,地下三樓
RPROMLSLRHIGFCD98CC,坡道平面,0,,地下一樓
RPPNMLSLRHIGFID66CC,坡道平面,0,20.27,地下一樓
RPQOMLSLRHIGFKD07CC,坡道平面,0,37.35,地下五樓含以下
RPSNMLSLRHIGFID96CC,坡道平面,0,17.45,地下三樓
RPRNMLSLRHIGFID86CC,坡道平面,3000,16.89,地下四樓
RPSNMLNJIIIGFAD27CC,升降機械,0,,地下一樓
RPWNMLNJIIIGFAD67CC,坡道平面,0,,地下二樓
RPWNMLOJIIIGFAD77CC,坡道平面,0,,地下二樓
RPQNMLOJIIIGFKD18CC,坡道平面,0,,地下一樓
RPUNMLOJIIIGFCD77CC,坡道平面,0,,地下一樓
RPPNMLMJIIIGFHD57CC,坡道機械,0,,地下二樓
RPRNMLRJIIIGFBD67CC,坡道平面,0,25.44,地下一樓
RPRNMLTJIIIGFAD77CC,坡道平面,0,,地下一樓
RPQNMLTJIIIGFBD77CC,坡道平面,0,35.04,地下二樓
RPRNMLTJIIIGFCD97CC,坡道平面,1500,24.43,地下一樓
RPUNMLLKIIIGFKD38CC,坡道平面,0,14.41,地下二樓
RPVNMLLKIIIGFKD48CC,坡道平面,2000,37.35,地下二樓
RPQOMLLKIIIGFKD08CC,坡道機械,0,,地下二樓
RPRNMLMKIIIGFCD37CC,坡道機械,0,,地下一樓
RPQNMLNKIIIGFHD87CC,坡道平面,0,12.94,地下一樓
RPSNMLOKIIIGFAD47CC,坡道平面,0,16.55,地下一樓
RPVNMLQKIIIGFAD97CC,坡道機械,0,23.36,地下四樓
RPPNMLPKIIIGFID08CC,坡道平面,0,22.27,地下二樓
RPSNMLMKIIIGFCD47CC,坡道平面,0,,地下一樓
RPPNMLQKIIIGFKD38CC,一樓平面,0,,一樓
RPSNMLRKIIIGFBD87CC,坡道平面,2500,34.87,地下一樓
RPRNMLRKIIIGFCD87CC,坡道平面,0,,地下一樓
RPROMLRKIIIGFCD97CC,坡道平面,0,16.5,地下一樓
RPXOMLRKIIIGFCD58CC,坡道平面,0,24.43,地下二樓
RPTNMLRKIIIGFID68CC,坡道平面,0,20.52,地下二樓
RPVNMLRKIIIGFKD09CC,坡道平面,0,,地下二樓
RPRNMLSKIIIGFBD87CC,坡道平面,0,34.87,地下一樓
RPVNMLSKIIIGFKD56CC,坡道機械,1350,19.29,地下三樓
RPPNMLMLIIIGFKD08CC,其他,0,,地下一樓
RPSNMLOLIIIGFBD67CC,坡道平面,0,34.07,地下二樓
RPRNMLPLIIIGFBD67CC,坡道平面,2500,34.87,地下二樓
RPPNMLLLRHIGFAE87CC,坡道平面,0,32.78,地下四樓
RPSNMLLLRHIGFBE28CC,坡道平面,1700,12.65,地下五樓含以下
RPRNMLLLRHIGFBE18CC,坡道平面,2200,14.65,地下二樓
RPSOMLLLRHIGFBE38CC,坡道平面,0,14.9,地下三樓
RPPNMLLLRHIGFCE08CC,坡道平面,0,23.87,地下一樓
RPQNMLLLRHIGFDE28CC,坡道機械,0,6.64,地下三樓
RPQNMLLLRHIGFEE38CC,坡道平面,0,36.24,地下二樓
RPVNMLLLRHIGFGE09CC,坡道平面,0,23.1,地下二樓
RPPNMLLLRHIGFIE68CC,坡道平面,0,25.54,地下三樓
RPROMLMLRHIGFAE28CC,坡道平面,0,29.96,地下四樓
RPPOMLMLRHIGFAE08CC,坡道機械,0,,地下二樓
RPRNMLMLRHIGFEE58CC,坡道平面,0,,地下二樓
RPOOMLMLRHIGFEE38CC,坡道平面,0,21.82,地下二樓
RPOOMLMLRHIGFEE38CC,坡道機械,0,11.34,地下一樓
RPSNMLNLRHIGFAE38CC,坡道平面,0,49.04,地下四樓
RPUNMLNLRHIGFCE78CC,坡道平面,0,16.32,地下二樓
RPQNMLNLRHIGFDE48CC,坡道平面,0,17.6,地下二樓
RPVNMLNLRHIGFCE88CC,坡道平面,0,20.38,地下一樓
RPUNMLNLRHIGFEE98CC,坡道平面,2500,23.96,地下二樓
RPQNMLPLRHIGFAE38CC,坡道機械,0,,地下二樓
RPQNMLPLRHIGFBE48CC,升降機械,0,,地下二樓
RPVNMLPLRHIGFBE98CC,升降機械,0,2.41,地下一樓
RPWNMLPLRHIGFBE09CC,坡道平面,300,26.45,地下二樓
RPPNMLPLRHIGFDE58CC,坡道平面,0,38.2,地下一樓
RPSNMLNLRHIGFFE88CC,坡道機械,0,18.38,地下四樓
RPSOMLPLRHIGFDE98CC,坡道平面,0,37.99,地下三樓
RPUNMLPLRHIGFEE56CC,坡道平面,0,33.08,地下二樓
RPWNMLPLRHIGFEE76CC,坡道平面,0,27.47,地下三樓
RPQNMLPLRHIGFGE98CC,坡道平面,0,55.6,地下一樓
RPUNMLQLRHIGFBE98CC,坡道平面,0,17.68,地下二樓
RPQNMLQLRHIGFCE68CC,坡道平面,0,,地下五樓含以下
RPQNMLQLRHIGFDE78CC,坡道平面,0,23.23,地下一樓
RPWOMLQLRHIGFDE86CC,坡道平面,0,22.68,地下五樓含以下
RPUNMLQLRHIGFEE66CC,坡道平面,0,29.63,地下一樓
RPUNMLQLRHIGFEE66CC,坡道平面,0,29.63,地下四樓
RPUNMLQLRHIGFEE66CC,坡道平面,0,29.63,地下四樓
RPUNMLQLRHIGFEE66CC,坡道平面,0,29.63,地下四樓
RPQNMLQLRHIGFGE09CC,坡道機械,0,,地下二樓
RPQNMLRLRHIGFAE58CC,坡道平面,0,,地下一樓
RPTNMLRLRHIGFAE88CC,坡道平面,0,14.34,地下二樓
RPUNMLRLRHIGFAE98CC,坡道平面,0,29.14,地下四樓
RPVNMLRLRHIGFBE56CC,坡道平面,0,14.65,地下四樓
RPUNMLRLRHIGFDE66CC,坡道機械,0,6.6,地下二樓
RPWNMLRLRHIGFEE96CC,坡道平面,1300,21.56,地下三樓
RPVNMLRLRHIGFEE86CC,坡道平面,0,32.05,地下三樓
RPXNMLRLRHIGFEE07CC,坡道平面,0,,地下二樓
RPQOMLRLRHIGFEE09CC,坡道平面,0,16.52,地下二樓
RPROMLRLRHIGFEE56CC,升降機械,0,6.98,地下四樓
RPVOMLRLRHIGFEE96CC,坡道平面,0,37.99,地下三樓
RPTOMLRLRHIGFEE76CC,坡道平面,0,27.65,地下三樓
RPPOMLRLRHIGFFE09CC,其他,0,16.53,地下四樓
RPQOMLRLRHIGFFE56CC,坡道機械,0,18.38,地下五樓含以下
RPSOMLRLRHIGFFE76CC,坡道機械,0,9.1,地下三樓
RPQNMLRLRHIGFLE07CC,坡道機械,0,10.54,一樓
RPPNMLRLRHIGFGE56DC,坡道平面,0,16.76,地下二樓
RPRNMLSLRHIGFAE78CC,坡道平面,0,18.77,地下一樓
RPTNMLSLRHIGFAE98CC,坡道平面,0,30.04,地下一樓
RPQOMLSLRHIGFAE78CC,坡道平面,0,16.5,地下三樓
RPPOMLSLRHIGFBE78CC,坡道平面,0,27.04,地下三樓
RPQNMLSLRHIGFCE88CC,坡道平面,3000,40.97,地下二樓
RPOOMLSLRHIGFCE78CC,坡道平面,0,26.32,地下二樓
RPQOMLSLRHIGFDE09CC,坡道平面,0,17.6,地下二樓
RPXOMLSLRHIGFDE17CC,坡道平面,0,15.15,地下三樓
RPRNMLSLRHIGFEE56CC,坡道平面,0,16.57,地下三樓
RPTPMLSLRHIGFDE86CC,坡道平面,0,,地下一樓
RPSNMLSLRHIGFEE66CC,坡道平面,0,29.63,地下二樓
RPTNMLSLRHIGFEE76CC,坡道平面,0,16.11,地下一樓
RPQNMLSLRHIGFGE66CC,坡道平面,0,,地下一樓
RPRNMLSLRHIGFGE76CC,坡道平面,0,,地下一樓
RPSNMLSLRHIGFGE86CC,坡道平面,0,,地下一樓
RPSNMLSLRHIGFGE86CC,坡道平面,0,,地下一樓
RPTNMLSLRHIGFGE96CC,坡道平面,0,,地下一樓
RPUNMLSLRHIGFGE07CC,坡道平面,0,,地下一樓
RPVNMLSLRHIGFGE17CC,坡道平面,0,,地下一樓
RPWNMLSLRHIGFGE27CC,坡道平面,0,,地下一樓
RPRNMLKMRHIGFAE08CC,坡道平面,0,25.25,地下二樓
RPSNMLKMRHIGFAE18CC,坡道平面,0,26.86,地下三樓
RPPNMLKMRHIGFDE18CC,坡道平面,0,21.25,地下三樓
RPRNMLKMRHIGFEE48CC,坡道平面,0,30.12,地下二樓
RPQNMLKMRHIGFDE28CC,坡道機械,0,24.53,地下四樓
RPPNMLKMRHIGFGE48CC,坡道平面,0,18.85,地下三樓
RPPNMLMJIIIGFDE27CC,坡道平面,0,28.02,地下二樓
RPQNMLMJIIIGFDE37CC,坡道平面,0,22.68,地下一樓
RPQNMLMJIIIGFDE37CC,坡道平面,0,20.81,地下一樓
RPRNMLMJIIIGFDE47CC,坡道平面,0,28.02,地下二樓
RPPNMLNJIIIGFAE07CC,坡道平面,0,26.88,地下三樓
RPPNMLNJIIIGFAE07CC,坡道平面,0,26.88,地下三樓
RPWNMLNJIIIGFAE77CC,坡道機械,0,4.83,地下二樓
RPSNMLOJIIIGFEE87CC,坡道機械,1000,10.06,地下三樓
RPRNMLQJIIIGFAE57CC,坡道平面,0,24.24,地下二樓
RPQNMLQJIIIGFAE47CC,坡道平面,0,,地下二樓
RPQNMLLKIIIGFBE17CC,坡道平面,0,34.56,地下一樓
RPXNMLLKIIIGFGE38CC,坡道平面,0,,地下三樓
RPQNMLMKIIIGFEE57CC,坡道平面,0,25.19,地下一樓
RPWNMLMKIIIGFEE18CC,坡道平面,0,25.37,地下三樓
RPSOMLMKIIIGFEE87CC,坡道平面,0,25.37,地下三樓
RPUNMLMKIIIGFGE18CC,坡道平面,0,18.39,地下一樓
